"Value Research Online"
"Date: 29-Jan-2016 15:19"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"ABG Shipyard Ltd","Services","Shipping","58.35","Jan 29, 15:09","0.43","260","57.35","0","-1.46","6945.33","315.54"
"Abhinav Capital Services Ltd","Services","Hotels & Restaurants","96","Jan 12, 2016","0","103","34.2","21.18","3.69","65.57","66.48"
"Abhinav Leasing & Finance Ltd.","Financial","Misc. Fin.services","20.1","Jan 22, 2016","1.77","20.1","2.49","0","18.24","100.31","100.46"
"Abhishek Corporation Ltd.","Textiles","Cotton & Blended Yarn","2.81","Jan 29, 14:31","-4.75","3.09","1.1","0","-0.01","288.18","4.72"
"Abhishek Finlease Ltd.","Financial","Misc. Fin.services","3.15","Nov 09, 2015","-4.26","8.02","3.15","44.77","0.35","0.93","1.34"
"Abhishek Infraventures Ltd.","Construction","Construction","20.7","Jan 27, 2016","0","20.7","12.5","132.92","2.06","6.36","6.73"
"Abirami Financial Services (India) Ltd.","Financial","Hire Purchase","10.94","Jan 12, 2016","-4.95","21.8","10.94","57.08","0.76","2","6.56"
"ABL Biotechnologies Ltd.","FMCG","Marine Foods","0.88","Jan 25, 2016","-4.35","4.9","0.88","0","0.05","17.68","0.72"
"ABM Knowledgeware Ltd.","Services","Trading","257","Jan 29, 15:13","-0.5","315","128","14.54","2.68","233.53","253.83"
"ACC Ltd.","Construction","Cement","1237.1","Jan 29, 15:09","1.82","1774.65","1205","28.92","2.78","21857.31","23468.17"
"Accel Frontline Ltd.","Services","Trading","71","Jan 29, 15:05","1.79","124.65","58.05","0","2.81","363.51","215.62"
"Accel Transmatic Ltd","Communication","Communication Equipt.","8.19","Jan 29, 15:13","-0.12","14.99","6.2","0","-0.48","28.54","8.94"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","899","Jan 29, 15:09","-0.13","1229.8","777.7","20.45","10.27","1291.73","1350.83"
"Accentia Technologies Ltd.","Technology","Computer Software","3.11","Mar 30, 2015","4.71","3.15","2.46","0","0.01","61.3","5.29"
"Acclaim Industries Ltd.","Chemicals","Plastic Packaging goods","0.63","Nov 23, 2015","5","1.38","0.56","0","0.06","35.62","0.32"
"Accurate Transformers Ltd.","Engineering","Transformers","24.4","Jan 25, 2016","4.95","42.9","22.15","15.63","0.13","156.44","7.25"
"ACE EduTrend Ltd.","Services","Recreational Services","3.2","Jan 29, 11:13","0","6.01","1.82","0","0.21","2.82","2.93"
"Ace Software Exports Ltd.","Technology","Computer Software","18.5","Jan 29, 14:52","4.82","22.4","6.12","12.02","0.53","7.87","8.66"
"Ace Tours Worldwide Ltd.","Services","Tourism","5.05","Dec 02, 2015","1","10.31","3.74","84.76","0.38","6.97","6.4"
"Achal Investments Ltd.","Financial","Invest.Services","40","Jan 20, 2016","0.38","58","32.5","0","74.61","245.83","245.99"
"ACI Infocom Ltd.","Technology","Computer Hardware","6.18","Jan 29, 15:05","-4.92","12","5.01","0","4.66","75.21","75.35"
"Acil Cotton Indstries Ltd.","Textiles","Cotton & Blended Yarn","0.14","Jan 29, 14:45","0","0.15","0.06","0","0.31","4.77","3.1"
"Acknit Industries Ltd.","Textiles","Readymade Garments","100","Jan 29, 15:12","2.04","154.9","40.3","9.05","0.92","68.04","25.93"
"ACME Resources Ltd.","Financial","Misc. Fin.services","20","Jan 28, 2016","0","20","12.5","4.81","-","100.62","51.49"
"Acropetal Technologies Ltd.","Services","BPO Services","3.25","Jan 29, 15:00","1.56","4.3","2.1","0","-0.12","210.76","12.44"
"Acrow India Ltd.","Metals","Structurals","94.05","Jan 22, 2016","-4.95","176.8","73","0","0.61","7.13","6.02"
"Acrysil Ltd.","Chemicals","Other Plastic Prod.","592","Jan 29, 15:13","0","799","470.25","38.45","3.77","375","308.74"
"Action Construction Equipment Ltd.","Construction","Construction","39.9","Jan 29, 15:09","1.53","55.4","31.1","54.41","1.54","509.09","396.75"
"Action Financial Services (India) Ltd.","Financial","Invest.Services","6.2","Dec 02, 2015","0.65","11.03","6.16","0","0.31","7.67","7.75"
"Adani Enterprises Ltd.","Services","Trading","73","Jan 29, 15:09","1.32","803.95","65.85","4.32","0.62","87341.6","8034.11"
"Adani Ports and Special Economic Zone Ltd.","Services","Shipping","212.75","Jan 29, 15:09","0.9","374.8","207.15","17.83","3.73","61140.48","44245.88"
"Adani Power Ltd.","Engineering","Power Projects","28.75","Jan 29, 15:09","1.59","60.15","19.6","0","1.68","51998.32","8469.9"
"Adani Transmission Ltd.","Engineering","Power Projects","36.45","Jan 29, 15:09","0.69","42.8","25","0","1.62","13722.41","4036.3"
"Adarsh Mercantile Ltd.","Services","Trading","4.45","Jan 09, 2015","4.95","-","-","7.64","0.29","1.31","1.64"
"Adarsh Plant Protect Ltd.","Engineering","Other Machinery","5.75","Jan 28, 2016","-4.96","7.8","3.99","0","2.16","8.97","5.7"
"ADC India Communications Ltd.","Communication","Communication Equipt.","266.8","Jan 29, 15:13","-3.54","410","233","26.38","3.15","90.25","125.86"
"ADCC Infocad Ltd.","Financial","Business Consultancy","59","Jan 18, 2016","-7.81","81.5","51","7.81","1.48","99.08","53.45"
"Addi Industries Ltd.","Textiles","Readymade Garments","6.55","Jan 29, 12:08","0","6.55","2.75","3.52","0.34","5.66","7.07"
"ADF Foods Ltd.","FMCG","Food Processing","89.85","Jan 29, 15:09","0.96","103.95","51.8","32","1.29","196.24","197.56"
"Adhbhut Infrastructure Ltd.","Construction","Real Estate","44.1","Dec 24, 2015","5","44.1","17.49","92.93","2.5","48.23","48.51"
"Adhunik Industries Ltd.","Engineering","Wires & cables","143.1","Jan 29, 15:10","1.13","206.7","123","59.73","6.59","786.62","689.3"
"Adhunik Metaliks Ltd.","Metals","Finished Steel","13","Jan 29, 15:09","-1.89","26.5","12","0","0.81","3099.08","162.4"
"Adi Finechem Ltd.","Chemicals","Organic Chemicals","225","Jan 29, 15:02","1.42","308.9","178.05","39.76","5.34","342","313.4"
"Adi Rasayan Ltd.","Chemicals","Dyes & Pigments","3.11","Oct 12, 2015","-4.6","9.66","3.11","44.08","-2.05","3.05","2.03"
"Adinath Bio-Labs Ltd.","Healthcare","Drugs & Pharma","0.24","Jan 29, 14:31","-4","0.4","0.15","32.5","0.18","5.2","5.3"
"Adinath Exim Resources Ltd.","Services","Trading","13.35","Jan 29, 15:05","4.87","17.7","10.25","13.55","0.69","4.98","4.99"
"Adinath Textiles Ltd.","Textiles","Synthetic Yarn","1.98","Jan 29, 14:20","0","1.98","1.13","2.77","-1.44","1.55","0.99"
"Aditya Birla Chemicals (India) Ltd.","Chemicals","Caustic Soda","225.25","Jan 13, 2016","1.21","260","202","10.08","1.08","1574.5","526.66"
"Aditya Birla Fashion and Retail Ltd.","Services","Trading","220","Jan 29, 15:13","-1.57","263","107.2","0","18.63","18148.77","16845.34"
"Aditya Birla Money Ltd.","Financial","Invest.Services","25.45","Jan 29, 15:09","1.6","35.95","18.25","31.94","5.57","118.77","139.05"
"Aditya Birla Nuvo Ltd.","Diversified","Diversified","875.85","Jan 29, 15:09","-0.06","2366.25","835.9","7.55","0.83","30013.72","11401.01"
"Aditya Forge Ltd.","Metals","Castings & Forgings","2.97","Nov 26, 2015","-2.94","4.7","2.42","0","-0.23","9.63","1.28"
"Aditya Gears Ltd.","Automobile","Auto Ancillaries","12.07","Oct 10, 2014","-","-","-","0","111.83","1.39","0.56"
"Aditya Ispat Ltd.","Metals","Finished Steel","3.75","Jan 27, 2016","-4.58","4.67","2.71","6.39","0.26","10.73","2.01"
"Aditya Spinners Ltd.","Textiles","Cotton & Blended Yarn","6.07","Jan 28, 2016","0.33","13.77","4.14","8.52","1","16.45","10.16"
"Adlabs Entertainment Ltd.","Services","Recreational Services","102.9","Jan 29, 15:09","-4.19","207","100.25","0","1.3","1601.31","822.95"
"Ad-Manum Finance Ltd.","Financial","Equipt.Leasing","27.55","Jan 29, 15:05","-5","33","22","11.37","0.46","90.5","20.66"
"Ador Fontech Ltd.","Services","Trading","98.7","Jan 29, 15:13","0.92","124.3","85","13.42","1.79","138.12","169.75"
"Ador Multiproducts Ltd.","FMCG","Cosmetics & Toiletries","21.3","Jan 22, 2016","-4.91","22.9","13.05","0","2.38","7.34","6.1"
"Ador Welding Ltd.","Engineering","Welding machinery","268","Jan 29, 15:09","-1.54","363.9","192.4","19.84","1.71","339.26","363.22"
"ADS Diagnostic Ltd.","Healthcare","Health Services","11.34","Apr 17, 2014","-","-","-","2.63","1.18","4.37","2.49"
"Advance Lifestyles Ltd.","Textiles","Cloth","10.45","Jan 21, 2016","-4.91","15.95","8.63","1.22","0.1","47.66","3.25"
"Advance Metering Technology Ltd.","Engineering","Electrical Machinery","27.95","Jan 29, 15:09","3.52","35.75","12.5","0","0.31","19.17","43.36"
"Advance Petrochemicals Ltd.","Chemicals","Organic Chemicals","21.95","Jan 20, 2016","-4.98","24.2","17.15","36.58","1.3","5.91","1.98"
"Advance Powerinfra Tech Ltd.","Energy","Electricity Generation","2.39","Jan 19, 2016","4.82","2.9","2.18","30.57","0.17","2.91","2.78"
"Advanced Micronic Devices Ltd.","Engineering","Electronic Equipts.","8.9","Jan 29, 14:09","-2.94","22","7.01","0","1.29","27.75","4.7"
"Advani Hotels & Resorts (India) Ltd.","Services","Hotels & Restaurants","46","Jan 29, 15:09","-2.13","66","40.25","40.92","6.56","235.5","221.62"
"Advanta Ltd.","FMCG","Vegetable oils","441.1","Jan 29, 15:09","5.15","634.95","328.5","38.2","5.09","5339.34","4487.66"
"Advent Computer Services Ltd.","Technology","Computer Software","4.48","Jan 29, 14:49","1.59","5.99","2.37","0","0.47","8.03","7.31"
"Advik Laboratories Ltd.","Healthcare","Drugs & Pharma","9.5","Jan 29, 15:07","0","15.42","4.15","0","0.94","25.81","18.06"
"Aegis Logistics Ltd.","Services","Transport Support Services","104.3","Jan 29, 15:09","11.91","115.85","40.32","32.78","6.61","3477.44","3383.42"
"Aftek Ltd.","Technology","Computer Software","1.63","Nov 30, 2015","-4.68","6.79","1.55","0","0.04","130.42","17.96"
"Agarwal Industrial Corporation Ltd","Services","Road Transport","158.05","Jan 29, 15:09","-0.57","205.8","86.5","13.96","1.88","122.44","87.66"
"AGC Networks Ltd","Communication","Communication Equipt.","79.55","Jan 29, 15:06","1.53","157.5","71.6","7.99","2.71","336.09","223.75"
"AGI Infra Ltd.","Construction","Infrastructure","101.5","Jan 07, 2016","-8.56","136.5","54.05","36.57","3.64","124.36","103.7"
"Agio Paper & Industries Ltd.","FMCG","Paper","2.18","Jan 18, 2016","3.32","2.94","1.12","0.57","-1.16","47.25","3.52"
"Agri- Tech (India) Ltd.","FMCG","Other Agri.prod.","11.55","Jan 29, 15:09","5","11.5","4.05","0","0.42","9.57","6.3"
"Agrimony Commodities Ltd.","Services","Trading","5.85","Jan 08, 2016","0","7","5.85","89.34","0.51","6.1","6.66"
"Agro Dutch Inds. Ltd.","FMCG","Other Agri.prod.","3.65","Jan 29, 15:02","2.82","7.4","2.35","0","-0.06","464.83","19.68"
"Agro Tech Foods Ltd.","FMCG","Vegetable oils","488.45","Jan 29, 15:09","1.59","705.95","477.4","38.85","3.62","1209.71","1193.48"
"AGS Infotech Ltd.","Technology","Computer Software","17.85","Oct 10, 2012","-4.8","-","-","0","0.89","40.36","22.22"
"Ahlcon Parenterals (India) Ltd.","Healthcare","Drugs & Pharma","515","Jan 21, 2015","-0.19","-","-","21.79","4.31","576.13","370.81"
"Ahluwalia Contracts (India) Ltd.","Construction","Construction","270.4","Jan 29, 15:09","2.23","303.4","188.2","26.25","4.82","1904.62","1807.99"
"Ahmedabad Steelcraft Ltd.","Metals","Finished Steel","22.05","Jan 28, 2016","-4.96","45.5","22.05","0","0.37","6.5","9.02"
"AI Champdany Industries Ltd.","Textiles","Jute prod.","35.25","Jan 29, 13:18","-4.99","40.75","13.55","0","1.39","201.4","96.66"
"AIA Engineering Ltd.","Metals","Castings & Forgings","820","Jan 29, 15:09","1.44","1364.2","766","18.22","3.4","6999.25","7724.37"
"Aimco Pesticides Ltd.","Chemicals","Pesticides","40","Jan 29, 15:13","-1.23","75.5","30.9","13.56","5.66","36.74","38.33"
"Aishwarya Telecom Ltd.","Communication","Communication Equipt.","3.95","Jan 28, 2016","-4.82","5.99","3.05","0","0.24","13.61","8.52"
"Ajanta Pharma Ltd.","Healthcare","Drugs & Pharma","1272","Jan 29, 15:09","2.58","1720","968","32.31","11.57","11046.12","11129.96"
"Ajanta Soya Ltd.","FMCG","Vanaspati","17.1","Jan 29, 15:06","0","29.25","12.5","10.6","0.97","21.57","26.5"
"Ajcon Global Services Ltd.","Financial","Invest.Services","14.3","Jan 28, 2016","0","21.5","11.1","24.29","0.49","39.15","8.75"
"Ajel Ltd.","Technology","Computer Software","2.52","Jan 29, 12:07","4.13","4.45","1.9","1.64","0.21","14.09","2.94"
"Ajmera Realty & Infra India Ltd","Construction","Infrastructure","143.45","Jan 29, 15:09","2.32","192.35","90","14.72","1.19","801.64","509.92"
"Ajwa Fun World & Resort Ltd.","Services","Recreational Services","17.5","Jan 28, 2016","4.48","17.58","6.41","0","1.55","15.08","11.18"
"AK Capital Services Ltd.","Financial","Hire Purchase","215.5","Jan 29, 15:10","1.79","356.9","183","7.74","0.43","376.05","140.78"
"AK Spintex Ltd.","Textiles","Textile Processing","51.15","Jan 28, 2016","0","51.15","12.5","210.9","2.26","38.31","25.74"
"Akar Tools Ltd.","Engineering","Machine Tools","41.75","Jan 29, 15:07","4.38","63","23","17.39","0.91","56.4","22.52"
"Akme Star Housing Finance Ltd.","Financial","Misc. Fin.services","38.5","Jan 29, 14:39","3.36","38","30.5","33.81","1.47","20.37","22.55"
"Aksh Optifibre Ltd.","Engineering","Wires & cables","15.5","Jan 29, 15:09","2.31","23.8","12.2","6.43","0.58","389.27","251.32"
"Aksharchem (India) Ltd.","Chemicals","Dyes & Pigments","177.8","Jan 29, 15:11","0.91","238","107","8.33","1.51","149.63","126.51"
"Akzo Nobel India Ltd.","Chemicals","Paints & Varnishes","1340","Jan 29, 15:09","-0.27","1551","1212.9","34.95","6.32","5945.27","6349.77"
"Alacrity Securities Ltd.","Financial","Invest.Services","3.75","Jan 11, 2016","0","6.25","3.29","0","0.3","6.33","7.9"
"Alan Scott Industries Ltd.","Textiles","Readymade Garments","13.2","Jan 27, 2016","-4.69","23.1","13.2","0","7.96","4.19","4.31"
"Alang Industrial Gases Ltd.","Chemicals","Indl.Gases","6.88","Jan 06, 2015","-4.97","-","-","0","0.85","3.71","3.72"
"Alankit Ltd.","Cons Durable","Gems & Jewellery","85.45","Jan 29, 15:09","1.73","86.5","40","178.91","9.24","295.88","306.82"
"Albert David Ltd.","Healthcare","Drugs & Pharma","372","Jan 29, 15:12","0.98","436.5","237.1","15.22","2.08","231.86","211.74"
"Alchemist Corporation Ltd.","FMCG","Cosmetics & Toiletries","11.44","Jan 27, 2016","4.95","11.44","4.6","0","1.13","5.62","5.62"
"Alchemist Ltd.","Services","Trading","26.75","Jan 29, 15:09","3.48","37.9","19.5","0","0.86","744.76","37.7"
"Alchemist Realty Ltd.","FMCG","Paper prod.","3.88","Jan 29, 14:56","-4.67","5.98","3.04","9.02","0.76","315.02","28.75"
"Alembic Ltd.","Healthcare","Drugs & Pharma","39.5","Jan 29, 15:09","-2.47","52.6","29.4","35.01","3.66","1047.91","1062.79"
"Alembic Pharmaceuticals Ltd.","Healthcare","Drugs & Pharma","618.4","Jan 29, 15:09","4.39","791.9","381.25","16.42","7.61","11707.87","11471.19"
"Alfa Ica (India) Ltd.","Chemicals","Other Plastic Prod.","18.25","Jan 28, 2016","1.11","28.65","14.5","6.83","0.65","19.97","7.37"
"Alfa Transformers Ltd.","Engineering","Transformers","26.6","Jan 29, 15:05","4.52","28.6","14.85","0","0.93","18.89","14.26"
"Alfavision Overseas (India) Ltd.","Financial","Hire Purchase","62.5","Jan 29, 14:43","-0.79","134","63","127.12","2.56","23.32","19.7"
"Alfred Herbert (India) Ltd.","Engineering","Machine Tools","372.4","Jan 22, 2016","4.43","434","303","42.94","0.96","25.07","28.73"
"Alicon Castalloy Ltd.","Metals","Aluminium Prod.","280.05","Jan 29, 15:01","-1.39","418","236.1","16.56","2.34","470.78","311.85"
"Alka Diamond Inds. Ltd.","Cons Durable","Gems & Jewellery","17.05","Nov 30, 2015","0.29","19.8","17","637.53","0.93","10.08","8.29"
"Alka India Ltd.","Textiles","Cotton & Blended Yarn","0.25","Jan 27, 2016","0","0.26","0.08","72.67","0.49","13.03","12.5"
"Alka Securities Ltd.","Financial","Misc. Fin.services","0.19","Jan 15, 2016","0","0.26","0.14","0","-0.83","4.74","1.82"
"Alkali Metals Ltd.","Metals","Metal Tanks & Fabrications","50.5","Jan 29, 15:07","4.02","69.5","29.5","24.81","1","80.55","50.91"
"Alkem Laboratories Ltd.","Healthcare","Drugs & Pharma","1362.1","Jan 29, 15:09","0.89","1588.9","1281","35.29","3.74","16714.95","16260.84"
"Alkyl Amines Chemicals Ltd.","Chemicals","Organic Chemicals","324","Jan 29, 15:08","-0.86","394","251","14.36","3.19","791.11","666.96"
"Allahabad Bank","Financial","Banking","53.95","Jan 29, 15:09","0.84","123.9","49.5","4.62","0.26","376.1","3188.97"
"Allcargo Logistics Ltd.","Services","Transport Support Services","187.7","Jan 29, 15:09","0.56","217.75","128","17.18","2.24","5142.24","4721.75"
"Alliance Integrated Metaliks Ltd.","Metals","Stainless Steel","112","Jan 29, 13:44","3.7","192","99","0","0.25","453.61","130.06"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","0.07","Jan 29, 15:13","0","0.16","0.03","73.72","0.07","43.99","8.33"
"Allied Digital Services Ltd.","Technology","Computer Software","47.6","Jan 29, 15:09","-0.1","64.8","15.2","18.24","0.33","336.82","224.01"
"Allsec Technologies Ltd.","Services","BPO Services","109.3","Jan 29, 14:40","5","157.9","20.25","17.12","2.27","172.52","166.55"
"Almondz Global Securities Ltd.","Financial","Invest.Services","11","Jan 29, 14:45","0.46","17.45","6.95","0","0.24","81.29","27.7"
"Alna Trading & Exports Ltd.","FMCG","Food Processing","28.95","May 27, 2009","-","-","-","5.26","0.37","-0.53","0.58"
"Alok Industries Ltd.","Textiles","Cloth","5.05","Jan 29, 15:09","-2.88","10.3","5","0","0.14","18031.13","718.96"
"Alpa Laboratories Ltd.","Healthcare","Drugs & Pharma","60.6","Jan 29, 15:09","1","92.45","10.75","10.8","1.33","86.15","129.72"
"Alpha Graphic India Ltd.","Engineering","Textile Machinery","2.39","Aug 27, 2015","-4.78","5.77","2.28","0","0.46","11.21","9.52"
"Alpha Hi-Tech Fuel Ltd.","Energy","Electricity Generation","0.87","Aug 26, 2015","-4.4","1.44","0.71","0","0.12","0.65","0.32"
"Alphageo (India) Ltd.","Financial","Business Consultancy","663.9","Jan 29, 15:09","5.09","721","263.15","480.02","6.23","361.87","368.65"
"Alpine Housing Devp. Corpn. Ltd.","Construction","Real Estate","27.6","Jan 29, 14:59","4.94","31.75","9.82","12.46","0.57","74.07","35.86"
"Alps Industries Ltd.","Textiles","Misc.Textiles","6.55","Jan 29, 15:06","0","8.85","1.6","0.97","-0.04","1051.43","26.48"
"Alps Motor Finance Ltd.","Financial","Misc. Fin.services","39.95","Aug 25, 2015","-19.62","67","32","0","39.35","404.97","401.35"
"ALSTOM India Ltd.","Construction","Construction","642.9","Jan 29, 15:09","1.17","876.95","560.05","108.33","4.48","3570.22","4288.78"
"Alstom T&D India Ltd.","Engineering","Switching Equipment","451.6","Jan 29, 15:09","4.25","659.9","383","92.21","8.2","11490.6","11291.65"
"Alufluoride Ltd.","Chemicals","Inorganic Chem.","23.2","Jan 29, 15:10","3.34","28","11.1","6.15","0.84","8.04","16.03"
"Alumeco India Extrusion Ltd.","Metals","Aluminium Prod.","5.05","Jan 29, 12:32","1","8.32","3.37","3.4","-0.46","6.21","6.26"
"Amal Ltd.","Chemicals","Dyes & Pigments","28.95","Jan 29, 15:10","-0.17","38.9","17.15","7.29","-0.81","36.66","20.37"
"Amalgamated Electricity Co. Ltd.","Financial","Misc. Fin.services","65.95","Dec 05, 2013","4.93","-","-","0","11.35","9.15","9.16"
"Amani Trading & Exports Ltd.","Services","Trading","54.2","Jan 04, 2016","-4.91","59","51","0","2.69","3.8","3.79"
"Amar Remedies Ltd","FMCG","Misc. Manuf.Articles","6.07","Dec 11, 2013","0.5","-","-","0","0.07","386.6","15.88"
"Amara Raja Batteries Ltd.","Engineering","Storage Batteries","837","Jan 29, 15:09","2.5","1128","774.15","31.66","7.32","14076.48","14222.7"
"Amarjothi Spinning Mills Ltd.","Textiles","Cotton & Blended Yarn","87.9","Jan 29, 15:08","-3.72","134","53.5","4.88","0.68","153.17","59.4"
"Amarnath Securities Ltd.","Financial","Misc. Fin.services","16.7","Jan 25, 2016","-1.76","27.7","16.7","43.19","1.56","4.92","5.01"
"Amba Enterprises Ltd.","Engineering","Electronic Equipts.","172","Jan 29, 13:55","0.82","184.5","49.99","99.33","6.97","85.76","90.73"
"Ambala Cements Ltd.","Construction","Cement","2.94","Dec 29, 2015","5","2.94","2.8","1.23","0.32","0.11","0.22"
"Ambalal Sarabhai Enterprises Ltd.","Healthcare","Drugs & Pharma","6.79","Jan 29, 15:12","5.93","9.69","3.08","0.86","0.87","81.11","52.03"
"Ambica Agarbathies Aroma & Inds. Ltd.","Services","Trading","4","Sep 14, 2015","4.71","5.22","3.7","7.8","0.19","63","6.87"
"Ambika Cotton Mills Ltd.","Textiles","Cotton & Blended Yarn","804.95","Jan 29, 15:09","0.57","1149","497.05","9.82","1.46","531.51","471.76"
"Ambition Mica Ltd.","Metals","Structurals","60","Jan 29, 14:26","11.32","67.4","39.9","13.73","2.13","36.26","23.84"
"Ambitious Plastomac Co. Ltd.","Services","Trading","2.37","Dec 14, 2015","-1.66","2.48","1.28","52.96","2.23","2.07","1.38"
"Ambuja Cements Ltd.","Construction","Cement","194.6","Jan 29, 15:10","0.72","287","185.2","29.29","2.88","25557.24","30052.49"
"Amco India Ltd.","Metals","Aluminium Prod.","20.1","Jan 19, 2016","-3.13","22.6","12.2","10.39","0.35","15.09","8.26"
"AMD Industries Ltd.","Metals","Aluminium Prod.","28","Jan 29, 15:09","3.9","37.2","17.25","12.75","0.42","128.41","53.76"
"Amforge Industries Ltd.","Automobile","Auto Ancillaries","3.8","Jan 29, 15:05","-4.76","4.9","1.52","3.58","0.23","7.86","5.65"
"Amines & Plasticizers Ltd.","Chemicals","Organic Chemicals","20.5","Jan 29, 15:10","4.86","32.7","12","12.53","2.31","171.69","112.79"
"Amit International Ltd.","Textiles","Misc.Textiles","2.85","Jan 29, 12:23","-3.39","11.55","2.71","0","0.26","5.07","5.4"
"Amit Securities Ltd.","Financial","Hire Purchase","5","Jan 25, 2016","-2.72","10.36","5","6.99","0.34","3.37","3.55"
"Amit Spinning Industries Ltd.","Textiles","Cotton & Blended Yarn","0.95","Jan 22, 2016","0","1.32","0.87","0","-0.06","65.45","3.91"
"AML Steel Ltd.","Metals","Steel Tubes & Pipes","6.8","Jan 29, 2015","1.49","-","-","0","-0.08","345.52","5.1"
"Amradeep Industries Ltd.","Chemicals","Plastic Sheets","5.06","Jan 06, 2016","0","6.9","5.06","0","5.12","30.84","33.43"
"Amrapali Capital and Finance Services Ltd.","Financial","Misc. Fin.services","33.5","Jan 29, 15:12","-11.84","55","30","144.46","0.4","-4.06","32.76"
"Amrapali Fincap Ltd","Financial","Misc. Fin.services","120.3","Jan 28, 2016","0.25","126.4","120","0","1.13","161.62","161.68"
"Amrapali Industries Ltd.","Services","Trading","5.3","Jan 25, 2016","0.95","6.37","3.84","0","0.68","35.1","27.25"
"Amraworld Agrico Ltd.","Textiles","Cotton & Blended Yarn","0.74","Jan 25, 2016","4.23","2.15","0.51","0","0.76","11.45","8.9"
"Amrit Banaspati Company Ltd.","Diversified","Diversified","147.25","Feb 27, 2013","-0.3","-","-","11.65","2.76","126.55","108.42"
"Amrit Corp. Ltd.","Diversified","Diversified","311.1","Jan 29, 15:04","-3.89","482.9","308","9.12","0.64","95.59","104.01"
"Amrutanjan Health Care Ltd.","Healthcare","Drugs & Pharma","426.5","Jan 29, 15:09","1.57","564.9","385","28.93","5.46","586.06","621.44"
"Amsons Apparels Ltd.","Services","Trading","4.08","Jan 13, 2016","-4.9","11.92","3.55","153.56","0.41","8.84","9.09"
"Amtek Auto Ltd.","Automobile","Auto Ancillaries","37.6","Jan 29, 15:09","-0.53","179.8","25.2","0","0.14","13708.85","840.59"
"Amulya Leasing & Finance Ltd.","Financial","Equipt.Leasing","103.8","Jan 29, 15:13","-0.67","172","101","0","1.5","93.84","51.77"
"Anand Credit Ltd.","Financial","Misc. Fin.services","0.5","Dec 27, 2013","-3.85","-","-","0","0.05","-0.26","0.3"
